Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1993,1993,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",973,a,973,a
1994,1994,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",689,a,689,a
1994,1994,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",314,a,314,a
1994,1994,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",114,a,114,a
1994,1994,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",25,a,25,a
1994,1994,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,7,a,7,a
1994,1994,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",2908,a,2908,a
1995,1995,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",314,a,314,a
1995,1995,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",226,a,226,a
1995,1995,BC,British Columbia,Colombie-Britannique,10 000 - 100 000 ha,10 000 - 100 000 ha,2,a,2,a
1995,1995,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",51,a,51,a
1995,1995,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",8,a,8,a
1995,1995,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,5,a,5,a
1995,1995,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",868,a,868,a
1996,1996,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",261,a,261,a
1996,1996,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",123,a,123,a
1996,1996,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",31,a,31,a
1996,1996,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",12,a,12,a
1996,1996,BC,British Columbia,Colombie-Britannique,1000 - 10 000 ha,1000 - 10 000 ha,3,a,3,a
1996,1996,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",930,a,930,a
1997,1997,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",205,a,205,a
