,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
407,1995,British Columbia,3,March,61,144.3,2.3655737704918036
408,1995,British Columbia,4,April,181,612.5,3.383977900552486
409,1995,British Columbia,5,May,316,17251.4,54.59303797468355
410,1995,British Columbia,6,June,281,28238.6,100.4932384341637
411,1995,British Columbia,7,July,277,427.3,1.5425992779783393
412,1995,British Columbia,8,August,90,85.0,0.9444444444444444
413,1995,British Columbia,9,September,238,1300.7,5.465126050420168
414,1996,British Columbia,1,January,5,0.6,0.12
415,1996,British Columbia,10,October,16,42.8,2.675
416,1996,British Columbia,11,November,1,0.2,0.2
417,1996,British Columbia,12,December,2,0.2,0.1
418,1996,British Columbia,2,February,3,4.1,1.3666666666666665
419,1996,British Columbia,3,March,31,30.9,0.996774193548387
420,1996,British Columbia,4,April,60,223.2,3.7199999999999998
421,1996,British Columbia,5,May,82,172.4,2.102439024390244
422,1996,British Columbia,6,June,155,12766.5,82.36451612903225
423,1996,British Columbia,7,July,452,6324.4,13.992035398230088
424,1996,British Columbia,8,August,489,1077.5,2.203476482617587
425,1996,British Columbia,9,September,64,26.3,0.4109375
426,1997,British Columbia,10,October,3,2.1,0.7000000000000001
427,1997,British Columbia,11,November,3,2.1,0.7000000000000001
428,1997,British Columbia,12,December,2,90.1,45.05
429,1997,British Columbia,2,February,2,0.3,0.15
430,1997,British Columbia,3,March,6,3.5,0.5833333333333334
431,1997,British Columbia,4,April,86,129.8,1.5093023255813955
432,1997,British Columbia,5,May,131,500.8,3.8229007633587786
433,1997,British Columbia,6,June,95,449.1,4.727368421052632
434,1997,British Columbia,7,July,172,1144.6,6.654651162790697
435,1997,British Columbia,8,August,514,340.0,0.6614785992217899
436,1997,British Columbia,9,September,162,305.4,1.885185185185185
437,1998,British Columbia,0,Unspecified,18,6.63,0.36833333333333335
438,1998,British Columbia,1,January,3,4.1,1.3666666666666665
439,1998,British Columbia,10,October,43,201.1,4.676744186046512
440,1998,British Columbia,11,November,4,8.2,2.05
441,1998,British Columbia,2,February,3,0.0,0.0
442,1998,British Columbia,3,March,24,111.201,4.633375
443,1998,British Columbia,4,April,148,1168.028,7.8920810810810815
444,1998,British Columbia,5,May,259,1402.739,5.4159806949806955
445,1998,British Columbia,6,June,143,654.708,4.578377622377622
446,1998,British Columbia,7,July,674,47502.518,70.47851335311572
447,1998,British Columbia,8,August,870,22734.168,26.131227586206897
448,1998,British Columbia,9,September,473,2773.952,5.864591966173362
449,1999,British Columbia,10,October,82,1018.869,12.425231707317074
450,1999,British Columbia,11,November,6,4.6,0.7666666666666666
451,1999,British Columbia,12,December,8,79.01,9.87625
452,1999,British Columbia,2,February,2,4.0,2.0
453,1999,British Columbia,3,March,8,91.509,11.438625
454,1999,British Columbia,4,April,92,1152.723,12.529597826086956
455,1999,British Columbia,5,May,83,236.063,2.844132530120482
456,1999,British Columbia,6,June,118,1604.554,13.59791525423729
457,1999,British Columbia,7,July,168,2644.284,15.739785714285714
458,1999,British Columbia,8,August,522,3853.28,7.38176245210728
459,1999,British Columbia,9,September,109,866.518,7.949706422018349
